Date,Date Processed,Description,Amount
18 Feb 2024,20 Feb 2024,Restaurant Dinner,91.72
15 Feb 2024,17 Feb 2024,Amazon Purchase,177.82
19 Feb 2024,22 Feb 2024,Fast Food,15.7
24 Feb 2024,27 Feb 2024,Netflix Subscription,11.26
10 Feb 2024,11 Feb 2024,Electronics,448.07
28 Feb 2024,02 Mar 2024,Netflix Subscription,10.93
18 Feb 2024,21 Feb 2024,Spotify Subscription,9.26
28 Feb 2024,01 Mar 2024,Hotel Stay,208.76
08 Feb 2024,09 Feb 2024,Target Purchase,125.95
19 Feb 2024,20 Feb 2024,Car Wash,10.87
24 Feb 2024,25 Feb 2024,Target Purchase,104.84
09 Feb 2024,11 Feb 2024,Starbucks Coffee,11.68
15 Feb 2024,18 Feb 2024,Parking Fee,7.63
08 Feb 2024,09 Feb 2024,Grocery Store,188.31
24 Feb 2024,25 Feb 2024,Pet Supplies,51.33
08 Feb 2024,11 Feb 2024,Grocery Store,192.95
22 Feb 2024,23 Feb 2024,Fast Food,7.58
05 Feb 2024,08 Feb 2024,Pet Supplies,65.13
19 Feb 2024,22 Feb 2024,Gym Membership,56.81
10 Feb 2024,11 Feb 2024,Electronics,116.9
27 Feb 2024,29 Feb 2024,Parking Fee,23.6
20 Feb 2024,21 Feb 2024,Fast Food,14.47
03 Feb 2024,04 Feb 2024,Grocery Store,174.17
17 Feb 2024,20 Feb 2024,Hotel Stay,184.18
25 Feb 2024,26 Feb 2024,Clothing Store,101.7
03 Feb 2024,06 Feb 2024,Hotel Stay,146.97
10 Feb 2024,12 Feb 2024,Book Store,11.38
12 Feb 2024,14 Feb 2024,Book Store,44.9
05 Feb 2024,08 Feb 2024,Movie Theater,26.44
25 Feb 2024,28 Feb 2024,Clothing Store,108.63
10 Feb 2024,13 Feb 2024,Target Purchase,81.08
26 Feb 2024,28 Feb 2024,Electronics,262.39
11 Feb 2024,14 Feb 2024,Gym Membership,58.91
11 Feb 2024,12 Feb 2024,Electronics,367.95
17 Feb 2024,19 Feb 2024,Gym Membership,46.9
18 Feb 2024,21 Feb 2024,Electricity Bill,125.73
18 Feb 2024,20 Feb 2024,Grocery Store,74.49
06 Feb 2024,09 Feb 2024,Amazon Purchase,65.92
06 Feb 2024,07 Feb 2024,Pharmacy,37.68
11 Feb 2024,14 Feb 2024,Parking Fee,24.89
09 Feb 2024,11 Feb 2024,Gym Membership,53.3
14 Feb 2024,15 Feb 2024,Clothing Store,96.64
26 Feb 2024,27 Feb 2024,Electricity Bill,88.2
27 Feb 2024,28 Feb 2024,Electricity Bill,136.05
09 Feb 2024,12 Feb 2024,Target Purchase,144.38
18 Feb 2024,21 Feb 2024,Netflix Subscription,10.5
14 Feb 2024,15 Feb 2024,Fast Food,5.1
17 Feb 2024,19 Feb 2024,Hotel Stay,152.77
14 Feb 2024,15 Feb 2024,Restaurant Dinner,46.28
10 Feb 2024,12 Feb 2024,Pharmacy,5.27
09 Feb 2024,12 Feb 2024,Netflix Subscription,12.8
16 Feb 2024,17 Feb 2024,Online Course,65.33
10 Feb 2024,13 Feb 2024,Online Course,181.26
19 Feb 2024,22 Feb 2024,Electronics,120.61
08 Feb 2024,09 Feb 2024,Uber Ride,43.39
24 Feb 2024,27 Feb 2024,Restaurant Dinner,24.56
21 Feb 2024,23 Feb 2024,Movie Theater,21.31
05 Feb 2024,08 Feb 2024,Hardware Store,50.4
07 Feb 2024,08 Feb 2024,Electricity Bill,139.83
21 Feb 2024,22 Feb 2024,Airline Ticket,403.9
27 Feb 2024,01 Mar 2024,Car Wash,24.52
13 Feb 2024,16 Feb 2024,Electronics,58.3
22 Feb 2024,23 Feb 2024,Restaurant Dinner,88.5
12 Feb 2024,14 Feb 2024,Airline Ticket,623.36
11 Feb 2024,13 Feb 2024,Target Purchase,106.98
20 Feb 2024,23 Feb 2024,Book Store,12.27
10 Feb 2024,13 Feb 2024,Fast Food,8.29
04 Feb 2024,06 Feb 2024,Amazon Purchase,195.43
07 Feb 2024,08 Feb 2024,Target Purchase,57.81
09 Feb 2024,11 Feb 2024,Cell Phone Bill,99.32
23 Feb 2024,24 Feb 2024,Cell Phone Bill,97.09
24 Feb 2024,26 Feb 2024,Pharmacy,17.22
10 Feb 2024,11 Feb 2024,Spotify Subscription,9.89
12 Feb 2024,13 Feb 2024,Grocery Store,198.86
03 Feb 2024,05 Feb 2024,Hardware Store,71.32
03 Feb 2024,04 Feb 2024,Target Purchase,76.62
05 Feb 2024,06 Feb 2024,Pet Supplies,24.78
20 Feb 2024,21 Feb 2024,Fast Food,19.97
14 Feb 2024,16 Feb 2024,Parking Fee,20.88
12 Feb 2024,13 Feb 2024,Target Purchase,20.15
28 Feb 2024,02 Mar 2024,Target Purchase,120.0
19 Feb 2024,21 Feb 2024,Pet Supplies,19.79
07 Feb 2024,09 Feb 2024,Pet Supplies,51.6
15 Feb 2024,16 Feb 2024,Hardware Store,127.09
14 Feb 2024,15 Feb 2024,Starbucks Coffee,14.66
04 Feb 2024,05 Feb 2024,Electronics,227.0
23 Feb 2024,25 Feb 2024,Gym Membership,58.66
26 Feb 2024,27 Feb 2024,Gym Membership,41.98
25 Feb 2024,27 Feb 2024,Car Wash,18.21
10 Feb 2024,11 Feb 2024,Pet Supplies,54.77
01 Feb 2024,02 Feb 2024,Parking Fee,15.82
02 Feb 2024,03 Feb 2024,Clothing Store,40.56
22 Feb 2024,23 Feb 2024,Cell Phone Bill,55.59
01 Feb 2024,02 Feb 2024,Book Store,13.88
01 Feb 2024,02 Feb 2024,Gym Membership,33.74
