Date,Date Processed,Description,Amount
18 Feb 2024,20 Feb 2024,Restaurant Dinner,91.72
15 Feb 2024,17 Feb 2024,Amazon Purchase,177.82
19 Feb 2024,22 Feb 2024,Fast Food,15.7
24 Feb 2024,27 Feb 2024,Netflix Subscription,11.26
10 Feb 2024,11 Feb 2024,Electronics,448.07
28 Feb 2024,02 Mar 2024,Netflix Subscription,10.93
18 Feb 2024,21 Feb 2024,Spotify Subscription,9.26
28 Feb 2024,01 Mar 2024,Hotel Stay,208.76
08 Feb 2024,09 Feb 2024,Target Purchase,125.95
19 Feb 2024,20 Feb 2024,Car Wash,10.87
24 Feb 2024,25 Feb 2024,Target Purchase,104.84
09 Feb 2024,11 Feb 2024,Starbucks Coffee,11.68
15 Feb 2024,18 Feb 2024,Parking Fee,7.63
08 Feb 2024,09 Feb 2024,Grocery Store,188.31
24 Feb 2024,25 Feb 2024,Pet Supplies,51.33
08 Feb 2024,11 Feb 2024,Grocery Store,192.95
22 Feb 2024,23 Feb 2024,Fast Food,7.58
05 Feb 2024,08 Feb 2024,Pet Supplies,65.13
19 Feb 2024,22 Feb 2024,Gym Membership,56.81
10 Feb 2024,11 Feb 2024,Electronics,116.9
27 Feb 2024,29 Feb 2024,Parking Fee,23.6
20 Feb 2024,21 Feb 2024,Fast Food,14.47
03 Feb 2024,04 Feb 2024,Grocery Store,174.17
17 Feb 2024,20 Feb 2024,Hotel Stay,184.18
25 Feb 2024,26 Feb 2024,Clothing Store,101.7
03 Feb 2024,06 Feb 2024,Hotel Stay,146.97
10 Feb 2024,12 Feb 2024,Book Store,11.38
12 Feb 2024,14 Feb 2024,Book Store,44.9
05 Feb 2024,08 Feb 2024,Movie Theater,26.44
25 Feb 2024,28 Feb 2024,Clothing Store,108.63
10 Feb 2024,13 Feb 2024,Target Purchase,81.08
26 Feb 2024,28 Feb 2024,Electronics,262.39
11 Feb 2024,14 Feb 2024,Gym Membership,58.91
11 Feb 2024,12 Feb 2024,Electronics,367.95
17 Feb 2024,19 Feb 2024,Gym Membership,46.9
18 Feb 2024,21 Feb 2024,Electricity Bill,125.73
