Date,Date Processed,Description,Amount
01 Mar 2024,02 Mar 2024,Spotify Subscription,9.99
02 Mar 2024,03 Mar 2024,Grocery Store,142.67
03 Mar 2024,04 Mar 2024,Starbucks Coffee,7.85
05 Mar 2024,06 Mar 2024,Hardware Store,156.78
06 Mar 2024,07 Mar 2024,Restaurant Dinner,67.89
08 Mar 2024,09 Mar 2024,Amazon Purchase,156.45
10 Mar 2024,11 Mar 2024,Gas Station,57.23
11 Mar 2024,12 Mar 2024,Movie Theater,24.50
12 Mar 2024,13 Mar 2024,Grocery Store,189.34
14 Mar 2024,15 Mar 2024,Fast Food,15.67
15 Mar 2024,16 Mar 2024,Uber Ride,28.90
16 Mar 2024,17 Mar 2024,Target Purchase,123.45
18 Mar 2024,19 Mar 2024,Pharmacy,42.18
20 Mar 2024,21 Mar 2024,Car Wash,18.99
22 Mar 2024,23 Mar 2024,Clothing Store,134.56
24 Mar 2024,25 Mar 2024,Pet Supplies,67.89
25 Mar 2024,26 Mar 2024,Gym Membership,45.99
27 Mar 2024,28 Mar 2024,Restaurant Dinner,78.90
29 Mar 2024,30 Mar 2024,Gas Station,61.23
31 Mar 2024,01 Apr 2024,Online Course,199.99
