Date,Date Processed,Description,Amount
01 Feb 2024,02 Feb 2024,Starbucks Coffee,6.45
01 Feb 2024,02 Feb 2024,Netflix Subscription,15.49
02 Feb 2024,03 Feb 2024,Grocery Store,127.83
02 Feb 2024,03 Feb 2024,Gas Station,52.67
03 Feb 2024,04 Feb 2024,Restaurant Dinner,85.92
05 Feb 2024,06 Feb 2024,Amazon Purchase,43.99
07 Feb 2024,08 Feb 2024,Target Purchase,89.54
08 Feb 2024,09 Feb 2024,Starbucks Coffee,8.75
10 Feb 2024,11 Feb 2024,Fast Food,12.49
11 Feb 2024,12 Feb 2024,Cell Phone Bill,85.99
12 Feb 2024,13 Feb 2024,Grocery Store,156.78
14 Feb 2024,15 Feb 2024,Restaurant Dinner,95.45
15 Feb 2024,16 Feb 2024,Pharmacy,28.99
15 Feb 2024,16 Feb 2024,Pet Supplies,45.67
16 Feb 2024,17 Feb 2024,Gas Station,48.32
18 Feb 2024,19 Feb 2024,Electronics,299.99
20 Feb 2024,21 Feb 2024,Clothing Store,87.50
22 Feb 2024,23 Feb 2024,Uber Ride,22.45
25 Feb 2024,26 Feb 2024,Book Store,32.99
28 Feb 2024,29 Feb 2024,Electricity Bill,112.34
